EC               1 8 Lac Gr,Manova 1   REF3012
OC               7 BH clusters         REF3415
EC               1 SOJ 1               REF3384
DGAL             1 Leo P               REF3345
DGAL             1 BS I: clusters      REF6002
OC              63 MWSC clusters       REF3031
EC               4 YED 1,2,3,4         REF1629
EGr              1 Melotte 31          REF534 
EC               8 SPB 1,2,DBSB 19,59  REF3385
EC             493 LS Clusters         REF3050
OC              63 MWSC clusters       REF3031
GC               1 M31: 361 GCs        REF3352
EC              22 MGM 1-22(in Ori A)  REF3383
GC               1 DES 1               REF1036
DGAL             1 Crater 2            REF3007
EC,OC,ECC      652 Cmg clusters        REF1620
DGAL             2 Grus 1,Tuc 2        REF3019
